날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2000-01-03,1455.2,1469.2,1478.0,1438.4,,-0.95,,0.0,,,,,1455.2,0.0
2000-01-04,1399.4,1455.2,1455.2,1397.4,,-3.83,-0.03834524463991196,-0.03834524463991196,,,,,1455.2,-0.03834524463991196
2000-01-05,1402.1,1399.4,1413.3,1377.7,,0.19,0.001929398313562869,-0.03648982957669045,,,,,1455.2,-0.03648982957669056
2000-01-06,1403.5,1402.1,1411.9,1392.0,,0.1,0.0009985022466301174,-0.03552776250687184,,,,,1455.2,-0.03552776250687195
2000-01-07,1441.5,1403.5,1441.5,1400.5,,2.71,0.027075169219807682,-0.009414513468938845,1420.34,,,,1455.2,-0.009414513468938956
2000-01-10,1457.6,1441.5,1464.4,1441.5,,1.12,0.011168921262573628,0.0016492578339748487,1420.8200000000002,,,,1457.6,0.0
2000-01-11,1438.6,1457.6,1458.8,1434.4,,-1.3,-0.013035126234906658,-0.011407366684991538,1428.6599999999999,,,,1457.6,-0.013035126234906658
2000-01-12,1432.2,1439.1,1445.3,1427.3,,-0.44,-0.004448769637147132,-0.01580538757559069,1434.6799999999998,,,,1457.6,-0.01742590559824364
2000-01-13,1449.7,1432.2,1454.6,1432.2,,1.22,0.012218963831867047,-0.00377954920285839,1443.92,,,,1457.6,-0.005419868276619
2000-01-14,1465.2,1449.7,1473.0,1449.7,,1.07,0.01069186728288618,0.006871907641561759,1448.66,,,,1465.2,0.0
2000-01-18,1455.1,1465.2,1465.2,1451.2,,-0.69,-0.006893256893257038,-6.871907641525787e-05,1448.1599999999999,,,,1465.2,-0.006893256893257038
2000-01-19,1455.9,1455.1,1462.2,1448.7,,0.05,0.0005497903924129854,0.0004810335349096917,1451.6200000000001,,,,1465.2,-0.006347256347256303
2000-01-20,1445.6,1455.9,1465.6,1438.6,,-0.71,-0.007074661721272135,-0.006597031335898507,1454.3,,,,1465.2,-0.01337701337701347
2000-01-21,1441.4,1445.6,1452.8,1439.5,,-0.29,-0.002905368013281562,-0.009483232545354103,1452.6399999999999,,,,1465.2,-0.016243516243516165
2000-01-24,1401.5,1441.4,1454.2,1395.4,,-2.77,-0.027681420840849236,-0.03690214403518377,1439.9,,,,1465.2,-0.04347529347529355
