연도,출생아수(명),자연증가건수(명),조출생률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명),전년 대비 증감수,전년 대비 증감률(%),5년 이동평균(명)
1970,1006645.0,748056.0,31.2,23.2,4.53,109.5,,,
1971,1024773.0,787245.0,31.2,23.9,4.54,109.0,18128.0,1.8008334616473443,
1972,952780.0,742709.0,28.4,22.2,4.12,109.5,-71993.0,-7.025263155840367,
1973,965521.0,698061.0,28.3,20.5,4.07,104.6,12741.0,1.3372446944730054,
1974,922823.0,674016.0,26.6,19.4,3.77,109.4,-42698.0,-4.422275641855533,974508.4
1975,874030.0,603373.0,24.8,17.1,3.43,112.4,-48793.0,-5.2873627987165435,947985.4
1976,796331.0,529474.0,22.2,14.8,3.0,110.7,-77699.0,-8.88974062675194,902297.0
1977,825339.0,576085.0,22.7,15.8,2.99,104.2,29008.0,3.642706362052972,876808.8
1978,750728.0,498430.0,20.3,13.5,2.64,111.3,-74611.0,-9.040042939931347,833850.2
1979,862669.0,622683.0,23.0,16.6,2.9,106.4,111941.0,14.91099306273378,821819.4
1980,862835.0,585551.0,22.6,15.4,2.82,105.3,166.0,0.019242606376268512,819580.4
1981,867409.0,629928.0,22.4,16.3,2.57,107.1,4574.0,0.5301129416400485,833796.0
1982,848312.0,602545.0,21.6,15.3,2.39,106.8,-19097.0,-2.2016142327321964,838390.6
1983,769155.0,514592.0,19.3,12.9,2.06,107.3,-79157.0,-9.331118739331757,842076.0
1984,674793.0,438348.0,16.7,10.8,1.74,108.3,-94362.0,-12.26826842443981,804500.8
1985,655489.0,415071.0,16.1,10.2,1.66,109.4,-19304.0,-2.860729142122098,763031.6
1986,636019.0,396763.0,15.4,9.6,1.58,111.7,-19470.0,-2.9703015611245998,716753.6
1987,623831.0,380327.0,15.0,9.1,1.53,108.8,-12188.0,-1.9162949534526463,671857.4
1988,633092.0,397313.0,15.1,9.5,1.55,113.2,9261.0,1.4845366774014046,644644.8
1989,639431.0,402613.0,15.1,9.5,1.56,111.8,6339.0,1.0012762758019322,637572.4
1990,649738.0,408122.0,15.2,9.5,1.57,116.5,10307.0,1.6119018314720401,636422.2
1991,709275.0,467005.0,16.4,10.8,1.71,112.4,59537.0,9.163231948877847,651073.4
1992,730678.0,494516.0,16.7,11.3,1.76,113.6,21403.0,3.0175883825032557,672442.8
1993,715826.0,481569.0,16.0,10.8,1.654,115.3,-14852.0,-2.032632705514603,688989.6
1994,721185.0,478746.0,16.0,10.6,1.656,115.2,5359.0,0.7486456205837655,705340.4
1995,715020.0,472182.0,15.7,10.3,1.634,113.2,-6165.0,-0.8548430707793431,718396.8
1996,691226.0,450077.0,15.0,9.8,1.574,111.5,-23794.0,-3.327739084221415,714787.0
1997,675394.0,430701.0,14.5,9.3,1.537,108.2,-15832.0,-2.290423103297623,703730.2
1998,641594.0,395769.0,13.7,8.4,1.464,110.1,-33800.0,-5.004486270236342,688883.8
1999,620668.0,372934.0,13.2,7.9,1.425,109.5,-20926.0,-3.2615641667471995,668780.4
2000,640089.0,391349.0,13.5,8.2,1.48,110.1,19421.0,3.129048057898909,653794.2
2001,559934.0,316121.0,11.7,6.6,1.309,109.0,-80155.0,-12.522477342994486,627535.8
2002,496911.0,249387.0,10.3,5.2,1.178,109.9,-63023.0,-11.255433676111826,591839.2
2003,495036.0,248573.0,10.2,5.1,1.191,108.6,-1875.0,-0.37733115185616395,562527.6
2004,476958.0,230738.0,9.8,4.8,1.164,108.2,-18078.0,-3.6518556226213805,533785.6
2005,438707.0,192833.0,9.0,4.0,1.085,107.8,-38251.0,-8.019783712612016,493509.2
2006,451759.0,207597.0,9.2,4.2,1.132,107.6,13052.0,2.9751063921934273,471874.2
2007,496822.0,250340.0,10.1,5.1,1.259,106.2,45063.0,9.975008798939268,471856.4
2008,465892.0,219779.0,9.4,4.4,1.192,106.4,-30930.0,-6.225569721147616,466027.6
2009,444849.0,197907.0,9.0,4.0,1.149,106.4,-21043.0,-4.516712027680237,459605.8
2010,470171.0,214766.0,9.4,4.3,1.226,106.9,25322.0,5.692268612495477,465898.6
2011,471265.0,213869.0,9.4,4.3,1.244,105.7,1094.0,0.2326813010585571,469799.8
2012,484550.0,217329.0,9.6,4.3,1.297,105.7,13285.0,2.8190084135252924,467345.4
2013,436455.0,170198.0,8.6,3.4,1.187,105.3,-48095.0,-9.925704261686096,461458.0
2014,435435.0,167743.0,8.6,3.3,1.205,105.3,-1020.0,-0.23370106883870978,459575.2
2015,438420.0,162525.0,8.6,3.2,1.239,105.3,2985.0,0.6855213751765454,453225.0
2016,406243.0,125416.0,7.9,2.5,1.172,105.0,-32177.0,-7.339309338077637,440220.6
2017,357771.0,72237.0,7.0,1.4,1.052,106.3,-48472.0,-11.931774824427743,414864.8
2018,326822.0,28002.0,6.4,0.5,0.977,105.4,-30949.0,-8.650505490942528,392938.2
2019,302676.0,7566.0,5.9,0.1,0.918,105.5,-24146.0,-7.388119526837233,366386.4
2020,272337.0,-32611.0,5.3,-0.6,0.837,104.8,-30339.0,-10.02358958093803,333169.8
2021,260562.0,-57118.0,5.1,-1.1,0.808,105.1,-11775.0,-4.323687196378012,304033.6
2022,249186.0,-123753.0,4.9,-2.4,0.778,104.7,-11376.0,-4.36594745204596,282316.6
2023,230028.0,-122483.0,4.5,-2.4,0.721,105.1,-19158.0,-7.688232886277724,262957.8
2024,238317.0,-120252.0,4.7,-2.4,0.748,105.0,8289.0,3.603474359643166,250086.0
2025,254457.0,-108931.0,5.0,-2.1,0.8,105.8,16140.0,6.772492100857264,246510.0
